Country Region,ISO3,Last Update,People Hospitalized,People Tested,Active,Confirmed,Deaths,Incident Rate,Lat,Long,Mortality Rate,Recovered,UID
Congo (Brazzaville),,2021-03-13 05:25:15,,,1684.0,9329,131,169.06205985692156,-0.228,15.8277,1.4042233894308072,7514.0,
Congo (Kinshasa),,2021-03-13 05:25:15,,,3702.0,26846,712,29.97496555547521,-4.0383,21.7587,2.652164195783357,22432.0,
Costa Rica,,2021-03-13 05:25:15,,,17264.0,209093,2862,4104.599936318661,9.7489,-83.7534,1.3687689210064422,188967.0,
Cote d'Ivoire,,2021-03-13 05:25:15,,,3346.0,36824,211,139.59972742721047,7.54,-5.5471,0.5729958722572236,33267.0,
Croatia,,2021-03-13 05:25:15,,,4522.0,249661,5647,6081.47872440971,45.1,15.2,2.2618670917764487,239492.0,
Cuba,,2021-03-13 05:25:15,,,4702.0,59919,365,529.010606521842,21.521757,-77.78116700000002,0.6091556935195848,54852.0,
Cyprus,,2021-03-13 05:25:15,,,36877.0,39171,237,3244.348624810641,35.1264,33.4299,0.6050394424446657,2057.0,
Czechia,,2021-03-13 05:25:15,,,162351.0,1376998,22865,12858.34638623914,49.8175,15.473,1.660496238919737,1191782.0,
Denmark,,2021-03-13 05:25:15,,,2.0,660,1,1350.6599815819093,61.8926,-6.9118,0.1515151515151515,657.0,
Denmark,,2021-03-13 05:25:15,,,0.0,31,0,54.604382442048895,71.7069,-42.6043,0.0,31.0,
Denmark,,2021-03-13 05:25:15,,,8317.0,219305,2387,3757.015548344733,56.2639,9.5018,1.0884384760949364,208601.0,
Diamond Princess,,2021-03-13 05:25:15,,,0.0,712,13,,,,1.8258426966292132,699.0,
Djibouti,,2021-03-13 05:25:15,,,205.0,6236,63,631.17281139107,11.8251,42.5903,1.010262989095574,5968.0,
Dominica,,2021-03-13 05:25:15,,,15.0,156,0,216.6937533858399,15.415,-61.371,0.0,141.0,
Dominican Republic,,2021-03-13 05:25:15,,,41317.0,245452,3213,2262.667516231707,18.7357,-70.1627,1.3090135749555922,200922.0,
Ecuador,,2021-03-13 05:25:15,,,27014.0,299216,16193,1695.9416337075315,-1.8312,-78.1834,5.4118095289021975,256009.0,
Egypt,,2021-03-13 05:25:15,,,31991.0,189639,11214,185.31304667893556,26.820553000000004,30.802498,5.913340610317498,146434.0,
El Salvador,,2021-03-13 05:25:15,,,1341.0,61947,1940,955.0582845027468,13.7942,-88.8965,3.131709364456713,58666.0,
Equatorial Guinea,,2021-03-13 05:25:15,,,519.0,6456,98,460.1617266043472,1.6508,10.2679,1.5179677819083024,5839.0,
Eritrea,,2021-03-13 05:25:15,,,400.0,3038,7,85.66368347635522,15.1794,39.7823,0.2304147465437788,2631.0,
Estonia,,2021-03-13 05:25:15,,,23548.0,82286,695,6203.059239117734,58.5953,25.0136,0.8446151228641567,58043.0,
Eswatini,,2021-03-13 05:25:15,,,944.0,17225,659,1484.7038866918815,-26.5225,31.4659,3.825834542815675,15622.0,
Ethiopia,,2021-03-13 05:25:15,,,28866.0,172571,2510,150.10927416902098,9.145,40.4897,1.4544738107793314,141195.0,
Fiji,,2021-03-13 05:25:15,,,4.0,66,2,7.362423084989135,-17.7134,178.065,3.0303030303030303,60.0,
Finland,,2021-03-13 05:25:15,,,18529.0,66181,824,1178.8183408720674,61.92411,25.748151,1.2033989129602696,46000.0,
France,,2021-03-13 05:25:15,,,6611.0,16693,87,5588.887177667218,4.0,-53.0,0.5211765410651171,9995.0,
France,,2021-03-13 05:25:15,,,13544.0,18527,141,6595.491698231424,-17.6797,-149.4068,0.7610514384411939,4842.0,
France,,2021-03-13 05:25:15,,,8048.0,10458,168,2613.670159724288,16.265,-61.551,1.606425702811245,2242.0,
France,,2021-03-13 05:25:15,,,6741.0,6886,47,1834.9699545654405,14.6415,-61.0242,0.6825442927679349,98.0,
France,,2021-03-13 05:25:15,,,15511.0,18604,129,6819.323126097364,-12.8275,45.166244,0.6933992689744141,2964.0,
France,,2021-03-13 05:25:15,,,30.0,88,0,30.824089025573485,-20.904305,165.618042,0.0,58.0,
France,,2021-03-13 05:25:15,,,1341.0,13801,71,1541.4806971455632,-21.1151,55.5364,0.514455474240997,12389.0,
France,,2021-03-13 05:25:15,,,209.0,671,0,6788.062721294891,17.9,-62.8333,0.0,462.0,
France,,2021-03-13 05:25:15,,,0.0,24,0,414.1501294219154,46.8852,-56.3159,0.0,24.0,
France,,2021-03-13 05:25:15,,,170.0,1581,12,4089.603973201583,18.0708,-63.0501,0.7590132827324478,1399.0,
France,,2021-03-13 05:25:15,,,147.0,154,0,1007.2601216560926,-14.2938,-178.1165,0.0,7.0,
France,,2021-03-13 05:25:15,,,3654586.0,3988194,89618,6112.189419367645,46.2276,2.2137,2.2470822633001304,243990.0,
Gabon,,2021-03-13 05:25:15,,,1981.0,16660,96,748.519136210714,-0.8037,11.6094,0.5762304921968787,14583.0,
